Accuracy,,,,
1,2,3,4,5
,10,10,5,9
,10,7,3,9
,8,10,7,8
,10,8,6,8
,10,8,7,8
,,6,10,8
,,7,3,9
,,6,9,6
,,,7,7
,,,8,6
,,,4,8
,,,3,10
,,,7,9
,,,9,8
,,,8,7
,,,3,7
,,,7,8
,,,7,7
,,,4,9
,,,9,5
,,,8,7
,,,4,7
,,,9,6
,,,9,7
,,,8,7
,,,10,8
,,,8,9
,,,8,8
,,,6,9
,,,2,6
,,,3,
,,,4,
,,,6,
,,,6,
,,,8,
,,,9,
,,,4,
,,,9,
,,,5,
,,,9,
,,,7,
,,,4,
,,,7,
,,,7,
,,,8,
,,,3,
,,,9,
,,,8,
,,,9,
,,,7,
,,,7,
,,,7,
,,,8,
,,,8,
,,,7,
,,,3,
,,,10,
,,,7,
,,,8,
,,,5,
,,,7,
,,,8,
,,,4,
,,,9,
,,,8,
,,,9,
,,,9,
,,,9,
,,,8,
,,,6,
