Clarity,,,,
1,2,3,4,5
,9,10,5,8
,9,6,4,8
,8,8,5,8
,10,9,7,5
,10,6,7,10
,,8,10,9
,,8,6,8
,,8,8,8
,,,7,6
,,,8,10
,,,3,10
,,,3,5
,,,2,8
,,,9,7
,,,9,10
,,,7,10
,,,6,10
,,,8,8
,,,3,8
,,,9,9
,,,7,8
,,,2,9
,,,8,7
,,,8,8
,,,9,10
,,,10,8
,,,7,9
,,,5,8
,,,8,10
,,,8,10
,,,4,
,,,4,
,,,5,
,,,6,
,,,9,
,,,10,
,,,5,
,,,8,
,,,5,
,,,8,
,,,7,
,,,4,
,,,7,
,,,7,
,,,9,
,,,5,
,,,8,
,,,9,
,,,9,
,,,9,
,,,7,
,,,8,
,,,8,
,,,9,
,,,8,
,,,2,
,,,6,
,,,6,
,,,8,
,,,5,
,,,8,
,,,8,
,,,6,
,,,7,
,,,7,
,,,8,
,,,8,
,,,7,
,,,8,
,,,6,
