Grade Level,,,,
1,2,3,4,5
,6,6,4,10
,7,6,6,7
,9,8,10,7
,6,7,4,8
,6,7,3,4
,,8,4,10
,,5,3,4
,,6,5,3
,,,5,7
,,,5,3
,,,5,10
,,,6,10
,,,10,5
,,,5,6
,,,2,5
,,,1,10
,,,4,3
,,,5,3
,,,4,6
,,,7,5
,,,7,10
,,,7,4
,,,10,2
,,,5,6
,,,3,5
,,,4,10
,,,6,3
,,,4,5
,,,10,4
,,,5,4
,,,5,
,,,7,
,,,5,
,,,4,
,,,3,
,,,5,
,,,3,
,,,4,
,,,10,
,,,6,
,,,6,
,,,7,
,,,4,
,,,5,
,,,3,
,,,2,
,,,6,
,,,4,
,,,7,
,,,6,
,,,6,
,,,8,
,,,5,
,,,3,
,,,3,
,,,4,
,,,4,
,,,10,
,,,6,
,,,6,
,,,5,
,,,8,
,,,4,
,,,6,
,,,8,
,,,7,
,,,7,
,,,8,
,,,8,
,,,7,
